Year,Average_Magnitude
1965,6.014159292035398
1966,6.040470085470085
1967,6.003921568627451
1968,6.078524590163934
1969,6.009349845201238
1970,6.035768115942029
1971,5.972538860103628
1972,5.94381443298969
1973,5.814064837905237
1974,5.830332409972299
1975,5.848880778588807
1976,5.825842450765864
1977,5.783764705882353
1978,5.8185365853658535
1979,5.828370786516854
1980,5.845689655172413
1981,5.862772585669782
1982,5.817630057803468
1983,5.876732891832229
1984,5.851701244813278
1985,5.895494736842106
1986,5.857092783505155
1987,5.903564356435644
1988,5.848875255623722
1989,5.843333333333334
1990,5.860625
1991,5.882284382284382
1992,5.882701688555347
1993,5.888841201716738
1994,5.8775
1995,5.904822335025381
1996,5.872088724584104
1997,5.8598684210526315
1998,5.868814432989691
1999,5.890605381165919
2000,5.858227848101266
2001,5.878329571106095
2002,5.866216216216216
2003,5.885731958762887
2004,5.850910683012259
2005,5.855347091932458
2006,5.859645669291338
2007,5.886019736842105
2008,5.908858267716535
2009,5.867117988394584
2010,5.899642857142857
2011,5.864747191011236
2012,5.872808988764045
2013,5.88177874186551
2014,5.886916666666666
2015,5.913071748878924
2016,5.892835820895522
